# M5 全连接组定稿源（唯一定稿源，可修改复现）——B1a 执行节点按《生物仿真M5实施清单》§2 构建。
"# 列：role, neuron_class, neurotransmitter, receptor, synapse_from, synapse_to, synapse_type,"
"#     g_max_ns, delay_ms, g_gap_ns, muscle_target, note"
# 行语义：
#   - 神经元行：role=<302 神经元名>，neuron_class=<sensory|inter|motor|pharyngeal>，
#     neurotransmitter=<ach|glut|gaba|dopamine|serotonin|other>（覆盖率 100%），
#     muscle_target=<body_fwd|body_back|head_left|head_right>（运动神经元→虚拟身体通道，可选）。
#   - 化学突触行：synapse_from + synapse_to + synapse_type=chem + neurotransmitter（突触前递质）
#     + receptor（§2.3 映射：ach/glut→ampa、gaba→gaba、dopamine/serotonin→mod、other→none）
#     + g_max_ns（初始权重占位，§6 校准）+ delay_ms。
#   - 缝隙连接行：synapse_from + synapse_to + synapse_type=gap + g_gap_ns（初始占位）+ delay_ms。
#   - 肌肉行：role=muscle_drive，synapse_from=<运动神经元>，synapse_to=<4 通道>，
#     synapse_type=muscle，g_max_ns=收缩增量 w 占位（M3/M4 定稿值：fwd 0.18/back 0.60/head 0.50）。
# 
# PROVENANCE（数据源与版本，诚实性记录）：
#   - PRIMARY: openworm/c302 仓库 c302/data/herm_full_edgelist.csv（MIT License），
"#     = Cook et al. 2019, Nature 571:63-71 雌雄同体全连接组 full edge list；"
#     2026-08-25 经 api.github.com 下载（raw.githubusercontent 沙箱不可达）。
#   - 交叉核对: SI5_adjacency.xlsx（Cook 2019 官方 SI5 邻接矩阵，逐对一致）；
#     networks.skewed.de celegans_2019 官方 synapse list（node_type 分类源）；
#     aconnectome_white_1986_whole.csv（White 1986 数字化，对照）；
#     owmeta_cache.json（OpenWorm 302 神经元 class+neurotransmitter 标注，
#     源自 Pereira 2015 / Serrano-Saiz 2013 等文献编译）。
#   - 计数诚实性（预注册 §0 #5）：权威数据为唯一计数源，不得为过 Pass 改动；
#     本文件含真实连接组全部神经元-神经元化学/缝隙连接（含自连接，白名单保留）。
#   - 计数语义：化学突触行=神经元间有向连接对（Weight=突触计数见 counts.json）；
#     缝隙行=神经元间无向唯一对（多重连接合并）。
#   - 简化假设（详见 docs/m5_env_notes.md L7+）：AIY 实际递质=ach（M4 以 GABA 简化，差异记录）；
#     AVM 规范分类=inter（Cook=sensory）；真实体壁肌肉→虚拟 4 通道聚合；
#     DD/VD（GABA 能）/VC/HSN（性特异）/RME 不产生 muscle_drive 行。
role,neuron_class,neurotransmitter,receptor,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,g_gap_ns,muscle_target,note
,,ach,ampa,AVBR,AVJL,chem,5.00,0.50,,,
,,ach,ampa,AVBR,DA3,chem,5.00,0.50,,,
,,ach,ampa,AVBR,DA4,chem,5.00,0.50,,,
,,ach,ampa,AVBR,DA7,chem,5.00,0.50,,,
,,ach,ampa,AVBR,DB4,chem,5.00,0.50,,,
,,ach,ampa,AVBR,HSNR,chem,5.00,0.50,,,
,,ach,ampa,AVBR,VA3,chem,5.00,0.50,,,
,,ach,ampa,AVBR,VA4,chem,5.00,0.50,,,
,,ach,ampa,AVBR,VD3,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AS10,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AS11,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AS4,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AVAL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AVAR,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AVDR,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AVEL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,AVJL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA1,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA2,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA3,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA4,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA5,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DA8,chem,5.00,0.50,,,
,,glut,ampa,AVDL,DVC,chem,5.00,0.50,,,
,,glut,ampa,AVDL,LUAL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,PVCL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,SABD,chem,5.00,0.50,,,
,,glut,ampa,AVDL,SABVL,chem,5.00,0.50,,,
,,glut,ampa,AVDL,SABVR,chem,5.00,0.50,,,
,,glut,ampa,AVDL,VA10,chem,5.00,0.50,,,
,,glut,ampa,AVDL,VA12,chem,5.00,0.50,,,
,,glut,ampa,AVDL,VA3,chem,5.00,0.50,,,
,,glut,ampa,AVDL,VA5,chem,5.00,0.50,,,
,,glut,ampa,AVDR,ALA,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AS10,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AS11,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVAL,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVAR,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVBL,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVDL,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVER,chem,5.00,0.50,,,
,,glut,ampa,AVDR,AVJR,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA1,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA2,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA3,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA4,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA5,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DA8,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DB1,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DB4,chem,5.00,0.50,,,
,,glut,ampa,AVDR,DVC,chem,5.00,0.50,,,
,,glut,ampa,AVDR,LUAL,chem,5.00,0.50,,,
,,glut,ampa,AVDR,PQR,chem,5.00,0.50,,,
,,glut,ampa,AVDR,PVCR,chem,5.00,0.50,,,
,,glut,ampa,AVDR,SABD,chem,5.00,0.50,,,
,,glut,ampa,AVDR,SABVL,chem,5.00,0.50,,,
,,glut,ampa,AVDR,SABVR,chem,5.00,0.50,,,
,,glut,ampa,AVDR,VA11,chem,5.00,0.50,,,
,,glut,ampa,AVDR,VA2,chem,5.00,0.50,,,
,,glut,ampa,AVDR,VA3,chem,5.00,0.50,,,
,,glut,ampa,AVDR,VA5,chem,5.00,0.50,,,
,,other,none,AVEL,ALML,chem,0.00,0.50,,,
,,other,none,AVEL,AS1,chem,0.00,0.50,,,
,,other,none,AVEL,AVAL,chem,0.00,0.50,,,
,,other,none,AVEL,AVAR,chem,0.00,0.50,,,
,,other,none,AVEL,AVDL,chem,0.00,0.50,,,
,,other,none,AVEL,DA1,chem,0.00,0.50,,,
,,other,none,AVEL,DA2,chem,0.00,0.50,,,
,,other,none,AVEL,DA3,chem,0.00,0.50,,,
,,other,none,AVEL,DB3,chem,0.00,0.50,,,
,,other,none,AVEL,PVCL,chem,0.00,0.50,,,
,,other,none,AVEL,PVCR,chem,0.00,0.50,,,
,,other,none,AVEL,PVT,chem,0.00,0.50,,,
,,other,none,AVEL,RMGL,chem,0.00,0.50,,,
,,other,none,AVEL,SABD,chem,0.00,0.50,,,
,,other,none,AVEL,SABVL,chem,0.00,0.50,,,
,,other,none,AVEL,SABVR,chem,0.00,0.50,,,
,,other,none,AVEL,VA1,chem,0.00,0.50,,,
,,other,none,AVEL,VA3,chem,0.00,0.50,,,
,,other,none,AVEL,VD2,chem,0.00,0.50,,,
,,other,none,AVEL,VD3,chem,0.00,0.50,,,
,,other,none,AVER,AIZR,chem,0.00,0.50,,,
,,other,none,AVER,AS1,chem,0.00,0.50,,,
,,other,none,AVER,AS2,chem,0.00,0.50,,,
,,other,none,AVER,AS3,chem,0.00,0.50,,,
,,other,none,AVER,AVAL,chem,0.00,0.50,,,
,,other,none,AVER,AVAR,chem,0.00,0.50,,,
,,other,none,AVER,AVDL,chem,0.00,0.50,,,
,,other,none,AVER,AVDR,chem,0.00,0.50,,,
,,other,none,AVER,AVEL,chem,0.00,0.50,,,
,,other,none,AVER,CEPDL,chem,0.00,0.50,,,
,,other,none,AVER,DA1,chem,0.00,0.50,,,
,,other,none,AVER,DA2,chem,0.00,0.50,,,
,,other,none,AVER,DA3,chem,0.00,0.50,,,
,,other,none,AVER,DB3,chem,0.00,0.50,,,
,,other,none,AVER,OLLL,chem,0.00,0.50,,,
,,other,none,AVER,RIMR,chem,0.00,0.50,,,
,,other,none,AVER,RMGR,chem,0.00,0.50,,,
,,other,none,AVER,SABD,chem,0.00,0.50,,,
,,other,none,AVER,SABVL,chem,0.00,0.50,,,
,,other,none,AVER,SABVR,chem,0.00,0.50,,,
,,other,none,AVER,URXR,chem,0.00,0.50,,,
,,other,none,AVER,VA1,chem,0.00,0.50,,,
,,other,none,AVER,VA2,chem,0.00,0.50,,,
,,other,none,AVER,VA3,chem,0.00,0.50,,,
,,other,none,AVER,VA4,chem,0.00,0.50,,,
,,other,none,AVFL,AIML,chem,0.00,0.50,,,
,,other,none,AVFL,AS10,chem,0.00,0.50,,,
,,other,none,AVFL,AVBL,chem,0.00,0.50,,,
,,other,none,AVFL,AVBR,chem,0.00,0.50,,,
,,other,none,AVFL,AVFR,chem,0.00,0.50,,,
,,other,none,AVFL,AVG,chem,0.00,0.50,,,
,,other,none,AVFL,AVHL,chem,0.00,0.50,,,
,,other,none,AVFL,AVHR,chem,0.00,0.50,,,
,,other,none,AVFL,AVJL,chem,0.00,0.50,,,
,,other,none,AVFL,AVL,chem,0.00,0.50,,,
,,other,none,AVFL,DVB,chem,0.00,0.50,,,
,,other,none,AVFL,HSNL,chem,0.00,0.50,,,
,,other,none,AVFL,HSNR,chem,0.00,0.50,,,
,,other,none,AVFL,PVNL,chem,0.00,0.50,,,
,,other,none,AVFL,PVQL,chem,0.00,0.50,,,
,,other,none,AVFL,RIFL,chem,0.00,0.50,,,
,,other,none,AVFL,RIFR,chem,0.00,0.50,,,
,,other,none,AVFL,SMBVL,chem,0.00,0.50,,,
,,other,none,AVFL,VB1,chem,0.00,0.50,,,
,,other,none,AVFL,VB2,chem,0.00,0.50,,,
,,other,none,AVFL,VC1,chem,0.00,0.50,,,
,,other,none,AVFR,AIAL,chem,0.00,0.50,,,
,,other,none,AVFR,AIML,chem,0.00,0.50,,,
,,other,none,AVFR,ASHR,chem,0.00,0.50,,,
,,other,none,AVFR,AVAL,chem,0.00,0.50,,,
,,other,none,AVFR,AVBL,chem,0.00,0.50,,,
,,other,none,AVFR,AVBR,chem,0.00,0.50,,,
,,other,none,AVFR,AVFL,chem,0.00,0.50,,,
,,other,none,AVFR,AVG,chem,0.00,0.50,,,
,,other,none,AVFR,AVHL,chem,0.00,0.50,,,
,,other,none,AVFR,AVHR,chem,0.00,0.50,,,
,,other,none,AVFR,AVJL,chem,0.00,0.50,,,
,,other,none,AVFR,HSNL,chem,0.00,0.50,,,
,,other,none,AVFR,HSNR,chem,0.00,0.50,,,
,,other,none,AVFR,PVCR,chem,0.00,0.50,,,
,,other,none,AVFR,PVDL,chem,0.00,0.50,,,
,,other,none,AVFR,PVPR,chem,0.00,0.50,,,
,,other,none,AVFR,PVQL,chem,0.00,0.50,,,
,,other,none,AVFR,RMDDL,chem,0.00,0.50,,,
,,other,none,AVFR,RMGL,chem,0.00,0.50,,,
,,other,none,AVFR,VA2,chem,0.00,0.50,,,
,,other,none,AVG,AVAL,chem,0.00,0.50,,,
,,other,none,AVG,AVAR,chem,0.00,0.50,,,
,,other,none,AVG,AVBL,chem,0.00,0.50,,,
,,other,none,AVG,AVBR,chem,0.00,0.50,,,
,,other,none,AVG,AVDL,chem,0.00,0.50,,,
,,other,none,AVG,AVDR,chem,0.00,0.50,,,
,,other,none,AVG,AVER,chem,0.00,0.50,,,
,,other,none,AVG,AVFL,chem,0.00,0.50,,,
,,other,none,AVG,AVG,chem,0.00,0.50,,,自连接（真实连接组存在，白名单保留，不静默删除）
,,other,none,AVG,AVJL,chem,0.00,0.50,,,
,,other,none,AVG,AVJR,chem,0.00,0.50,,,
,,other,none,AVG,DA8,chem,0.00,0.50,,,
,,other,none,AVG,DVC,chem,0.00,0.50,,,
,,other,none,AVG,PHAL,chem,0.00,0.50,,,
,,other,none,AVG,PVCL,chem,0.00,0.50,,,
,,other,none,AVG,PVCR,chem,0.00,0.50,,,
,,other,none,AVG,PVNL,chem,0.00,0.50,,,
,,other,none,AVG,PVNR,chem,0.00,0.50,,,
,,other,none,AVG,PVQR,chem,0.00,0.50,,,
,,other,none,AVG,PVT,chem,0.00,0.50,,,
,,other,none,AVG,VA11,chem,0.00,0.50,,,
,,other,none,AVG,VA6,chem,0.00,0.50,,,
,,other,none,AVG,VC1,chem,0.00,0.50,,,
,,other,none,AVHL,ADFR,chem,0.00,0.50,,,
,,other,none,AVHL,ASHR,chem,0.00,0.50,,,
,,other,none,AVHL,AVAR,chem,0.00,0.50,,,
,,other,none,AVHL,AVBL,chem,0.00,0.50,,,
,,other,none,AVHL,AVBR,chem,0.00,0.50,,,
,,other,none,AVHL,AVDL,chem,0.00,0.50,,,
,,other,none,AVHL,AVFL,chem,0.00,0.50,,,
,,other,none,AVHL,AVFR,chem,0.00,0.50,,,
,,other,none,AVHL,AVHR,chem,0.00,0.50,,,
,,other,none,AVHL,AVJL,chem,0.00,0.50,,,
,,other,none,AVHL,AVJR,chem,0.00,0.50,,,
,,other,none,AVHL,AWBR,chem,0.00,0.50,,,
,,other,none,AVHL,BDUR,chem,0.00,0.50,,,
,,other,none,AVHL,DD1,chem,0.00,0.50,,,
,,other,none,AVHL,PVPR,chem,0.00,0.50,,,
,,other,none,AVHL,PVQR,chem,0.00,0.50,,,
,,other,none,AVHL,RIFR,chem,0.00,0.50,,,
,,other,none,AVHL,RIMR,chem,0.00,0.50,,,
,,other,none,AVHL,RIR,chem,0.00,0.50,,,
,,other,none,AVHL,SABD,chem,0.00,0.50,,,
,,other,none,AVHL,SMBDR,chem,0.00,0.50,,,
,,other,none,AVHL,SMBVR,chem,0.00,0.50,,,
,,other,none,AVHL,VD1,chem,0.00,0.50,,,
,,other,none,AVHR,ADLR,chem,0.00,0.50,,,
,,other,none,AVHR,AQR,chem,0.00,0.50,,,
,,other,none,AVHR,ASKR,chem,0.00,0.50,,,
,,other,none,AVHR,AVAL,chem,0.00,0.50,,,
,,other,none,AVHR,AVBL,chem,0.00,0.50,,,
,,other,none,AVHR,AVBR,chem,0.00,0.50,,,
,,other,none,AVHR,AVDR,chem,0.00,0.50,,,
,,other,none,AVHR,AVFL,chem,0.00,0.50,,,
,,other,none,AVHR,AVFR,chem,0.00,0.50,,,
,,other,none,AVHR,AVHL,chem,0.00,0.50,,,
,,other,none,AVHR,AVJR,chem,0.00,0.50,,,
,,other,none,AVHR,AWBL,chem,0.00,0.50,,,
,,other,none,AVHR,DVA,chem,0.00,0.50,,,
,,other,none,AVHR,PVPL,chem,0.00,0.50,,,
,,other,none,AVHR,RIGL,chem,0.00,0.50,,,
,,other,none,AVHR,RIR,chem,0.00,0.50,,,
,,other,none,AVHR,SMBDL,chem,0.00,0.50,,,
,,other,none,AVHR,SMBVL,chem,0.00,0.50,,,
,,other,none,AVJL,AINL,chem,0.00,0.50,,,
,,other,none,AVJL,ASHR,chem,0.00,0.50,,,
,,other,none,AVJL,AVAR,chem,0.00,0.50,,,
,,other,none,AVJL,AVBL,chem,0.00,0.50,,,
,,other,none,AVJL,AVBR,chem,0.00,0.50,,,
,,other,none,AVJL,AVDL,chem,0.00,0.50,,,
,,other,none,AVJL,AVEL,chem,0.00,0.50,,,
,,other,none,AVJL,AVHL,chem,0.00,0.50,,,
,,other,none,AVJL,AVJR,chem,0.00,0.50,,,
,,other,none,AVJL,PVCL,chem,0.00,0.50,,,
,,other,none,AVJL,PVCR,chem,0.00,0.50,,,
,,other,none,AVJL,PVNR,chem,0.00,0.50,,,
,,other,none,AVJL,RIFR,chem,0.00,0.50,,,
,,other,none,AVJL,RIS,chem,0.00,0.50,,,
,,other,none,AVJL,SABD,chem,0.00,0.50,,,
,,other,none,AVJR,ALML,chem,0.00,0.50,,,
,,other,none,AVJR,AVAL,chem,0.00,0.50,,,
,,other,none,AVJR,AVAR,chem,0.00,0.50,,,
,,other,none,AVJR,AVBL,chem,0.00,0.50,,,
,,other,none,AVJR,AVBR,chem,0.00,0.50,,,
,,other,none,AVJR,AVDL,chem,0.00,0.50,,,
,,other,none,AVJR,AVDR,chem,0.00,0.50,,,
,,other,none,AVJR,AVER,chem,0.00,0.50,,,
,,other,none,AVJR,AVJL,chem,0.00,0.50,,,
,,other,none,AVJR,AVM,chem,0.00,0.50,,,
,,other,none,AVJR,FLPR,chem,0.00,0.50,,,
,,other,none,AVJR,PVCL,chem,0.00,0.50,,,
,,other,none,AVJR,PVCR,chem,0.00,0.50,,,
,,other,none,AVJR,RID,chem,0.00,0.50,,,
,,other,none,AVJR,SABVL,chem,0.00,0.50,,,
,,other,none,AVKL,AVBL,chem,0.00,0.50,,,
,,other,none,AVKL,AVEL,chem,0.00,0.50,,,
,,other,none,AVKL,AVER,chem,0.00,0.50,,,
,,other,none,AVKL,AVM,chem,0.00,0.50,,,
,,other,none,AVKL,DVA,chem,0.00,0.50,,,
,,other,none,AVKL,RIML,chem,0.00,0.50,,,
,,other,none,AVKL,RIMR,chem,0.00,0.50,,,
,,other,none,AVKL,RIVL,chem,0.00,0.50,,,
,,other,none,AVKL,RMDL,chem,0.00,0.50,,,
,,other,none,AVKL,RMFL,chem,0.00,0.50,,,
,,other,none,AVKL,SAADL,chem,0.00,0.50,,,
,,other,none,AVKL,SAADR,chem,0.00,0.50,,,
,,other,none,AVKL,SAAVL,chem,0.00,0.50,,,
,,other,none,AVKL,SIAVR,chem,0.00,0.50,,,
,,other,none,AVKL,SIBVR,chem,0.00,0.50,,,
,,other,none,AVKR,AVKL,chem,0.00,0.50,,,
,,other,none,AVKR,BDUL,chem,0.00,0.50,,,
,,other,none,AVKR,PVPL,chem,0.00,0.50,,,
,,other,none,AVKR,PVQL,chem,0.00,0.50,,,
,,other,none,AVKR,RIGL,chem,0.00,0.50,,,
,,other,none,AVKR,RIML,chem,0.00,0.50,,,
,,other,none,AVKR,RIMR,chem,0.00,0.50,,,
,,other,none,AVKR,RMDL,chem,0.00,0.50,,,
,,other,none,AVKR,RMDR,chem,0.00,0.50,,,
,,other,none,AVKR,RMFL,chem,0.00,0.50,,,
,,other,none,AVKR,RMGL,chem,0.00,0.50,,,
,,other,none,AVKR,RMHR,chem,0.00,0.50,,,
,,other,none,AVKR,SAADL,chem,0.00,0.50,,,
,,other,none,AVKR,SIADL,chem,0.00,0.50,,,
,,other,none,AVKR,SMBDL,chem,0.00,0.50,,,
,,other,none,AVKR,SMDDR,chem,0.00,0.50,,,
,,other,none,AVKR,SMDVR,chem,0.00,0.50,,,
,,gaba,gaba,AVL,AVEL,chem,15.00,0.50,,,
,,gaba,gaba,AVL,AVKR,chem,15.00,0.50,,,
,,gaba,gaba,AVL,DD1,chem,15.00,0.50,,,
,,gaba,gaba,AVL,DD6,chem,15.00,0.50,,,
,,gaba,gaba,AVL,DVB,chem,15.00,0.50,,,
,,gaba,gaba,AVL,DVC,chem,15.00,0.50,,,
,,gaba,gaba,AVL,HSNR,chem,15.00,0.50,,,
,,gaba,gaba,AVL,PVPR,chem,15.00,0.50,,,
,,gaba,gaba,AVL,PVWL,chem,15.00,0.50,,,
,,gaba,gaba,AVL,RIMR,chem,15.00,0.50,,,
,,gaba,gaba,AVL,RIS,chem,15.00,0.50,,,
,,gaba,gaba,AVL,SABD,chem,15.00,0.50,,,
,,gaba,gaba,AVL,SABVL,chem,15.00,0.50,,,
,,gaba,gaba,AVL,SABVR,chem,15.00,0.50,,,
,,gaba,gaba,AVL,VC1,chem,15.00,0.50,,,
,,gaba,gaba,AVL,VC2,chem,15.00,0.50,,,
,,gaba,gaba,AVL,VC6,chem,15.00,0.50,,,
,,gaba,gaba,AVL,VD12,chem,15.00,0.50,,,
,,glut,ampa,AVM,ADER,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVBL,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVBR,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVDL,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVDR,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVHL,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVJR,chem,5.00,0.50,,,
,,glut,ampa,AVM,AVKL,chem,5.00,0.50,,,
,,glut,ampa,AVM,BDUL,chem,5.00,0.50,,,
,,glut,ampa,AVM,BDUR,chem,5.00,0.50,,,
,,glut,ampa,AVM,DA1,chem,5.00,0.50,,,
,,glut,ampa,AVM,PVCL,chem,5.00,0.50,,,
,,glut,ampa,AVM,PVCR,chem,5.00,0.50,,,
,,glut,ampa,AVM,PVNL,chem,5.00,0.50,,,
,,glut,ampa,AVM,PVNR,chem,5.00,0.50,,,
,,glut,ampa,AVM,PVR,chem,5.00,0.50,,,
,,glut,ampa,AVM,RID,chem,5.00,0.50,,,
,,glut,ampa,AVM,SIBVL,chem,5.00,0.50,,,
,,glut,ampa,AVM,VA2,chem,5.00,0.50,,,
,,glut,ampa,AVM,VB3,chem,5.00,0.50,,,
,,other,none,AWAL,ADAL,chem,0.00,0.50,,,
,,other,none,AWAL,AFDL,chem,0.00,0.50,,,
,,other,none,AWAL,AIYL,chem,0.00,0.50,,,
,,other,none,AWAL,AIZL,chem,0.00,0.50,,,
,,other,none,AWAL,ASEL,chem,0.00,0.50,,,
,,other,none,AWAL,ASGL,chem,0.00,0.50,,,
,,other,none,AWAL,ASHL,chem,0.00,0.50,,,
,,other,none,AWAL,AWBL,chem,0.00,0.50,,,
,,other,none,AWAR,ADFR,chem,0.00,0.50,,,
,,other,none,AWAR,AFDR,chem,0.00,0.50,,,
,,other,none,AWAR,AIAR,chem,0.00,0.50,,,
,,other,none,AWAR,AIYR,chem,0.00,0.50,,,
,,other,none,AWAR,AIZR,chem,0.00,0.50,,,
,,other,none,AWAR,ASER,chem,0.00,0.50,,,
,,other,none,AWAR,ASGR,chem,0.00,0.50,,,
,,other,none,AWAR,ASIL,chem,0.00,0.50,,,
,,other,none,AWAR,AUAR,chem,0.00,0.50,,,
,,other,none,AWAR,AWBR,chem,0.00,0.50,,,
,,other,none,AWAR,RIFR,chem,0.00,0.50,,,
,,other,none,AWAR,RIGR,chem,0.00,0.50,,,
,,other,none,AWAR,RIR,chem,0.00,0.50,,,
,,other,none,AWBL,ADFL,chem,0.00,0.50,,,
,,other,none,AWBL,AIAL,chem,0.00,0.50,,,
,,other,none,AWBL,AIBR,chem,0.00,0.50,,,
,,other,none,AWBL,AIYL,chem,0.00,0.50,,,
,,other,none,AWBL,AIZL,chem,0.00,0.50,,,
,,other,none,AWBL,ASEL,chem,0.00,0.50,,,
,,other,none,AWBL,ASHL,chem,0.00,0.50,,,
,,other,none,AWBL,AVBL,chem,0.00,0.50,,,
,,other,none,AWBL,AVHR,chem,0.00,0.50,,,
,,other,none,AWBL,AWAL,chem,0.00,0.50,,,
,,other,none,AWBL,AWCL,chem,0.00,0.50,,,
,,other,none,AWBL,HSNL,chem,0.00,0.50,,,
,,other,none,AWBL,RIAL,chem,0.00,0.50,,,
,,other,none,AWBL,RIGL,chem,0.00,0.50,,,
,,other,none,AWBL,SMBDL,chem,0.00,0.50,,,
,,other,none,AWBL,SMBVL,chem,0.00,0.50,,,
,,other,none,AWBR,ADFR,chem,0.00,0.50,,,
,,other,none,AWBR,AIMR,chem,0.00,0.50,,,
,,other,none,AWBR,AIYR,chem,0.00,0.50,,,
,,other,none,AWBR,AIZR,chem,0.00,0.50,,,
,,other,none,AWBR,ASER,chem,0.00,0.50,,,
,,other,none,AWBR,ASGR,chem,0.00,0.50,,,
,,other,none,AWBR,ASHR,chem,0.00,0.50,,,
,,other,none,AWBR,AVBR,chem,0.00,0.50,,,
,,other,none,AWBR,HSNL,chem,0.00,0.50,,,
,,other,none,AWBR,HSNR,chem,0.00,0.50,,,
,,other,none,AWBR,OLQVR,chem,0.00,0.50,,,
,,other,none,AWBR,RIAR,chem,0.00,0.50,,,
,,other,none,AWBR,RIFR,chem,0.00,0.50,,,
,,other,none,AWBR,RIR,chem,0.00,0.50,,,
,,other,none,AWBR,URYVR,chem,0.00,0.50,,,
,,glut,ampa,AWCL,AFDL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIAL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIAR,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIBL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIBR,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIYL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AIZL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,ASER,chem,5.00,0.50,,,
,,glut,ampa,AWCL,ASGR,chem,5.00,0.50,,,
,,glut,ampa,AWCL,ASIL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AVAL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,AWCR,chem,5.00,0.50,,,
,,glut,ampa,AWCL,RIAL,chem,5.00,0.50,,,
,,glut,ampa,AWCL,SMDVL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ADFR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIAL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIAR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIBL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIBR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIYL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AIYR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASEL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASER,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASGR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASHR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASIL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,ASIR,chem,5.00,0.50,,,
,,glut,ampa,AWCR,AWCL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,IL2L,chem,5.00,0.50,,,
,,glut,ampa,AWCR,RIAL,chem,5.00,0.50,,,
,,glut,ampa,AWCR,RIVL,chem,5.00,0.50,,,
,,glut,ampa,BAGL,ADFR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AIBL,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AINL,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AIZR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AUAR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AVAR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AVEL,chem,5.00,0.50,,,
,,glut,ampa,BAGL,AVER,chem,5.00,0.50,,,
,,glut,ampa,BAGL,BAGR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,CEPVR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIAR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIBR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RID,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIGL,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIGR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIPR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,RIVR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,URAVR,chem,5.00,0.50,,,
,,glut,ampa,BAGL,URXR,chem,5.00,0.50,,,
